Author,Company,Download,Title,Before Parsing
Tim Godfrey,"""GRIDMAN Task Group""",https://mentor.ieee.org/802.16/dcn/13/16-13-0013-03-Gdoc-ieee-p802-16n-d7-sponsor-ballot-comments.pdf,IEEE P802.16n/D7 Sponsor Ballot Comments,Tim Godfrey (GRIDMAN Task Group)
Roger Marks,"""IEEE 802.16 WG""",https://mentor.ieee.org/802.16/dcn/13/16-13-0038-00-Gdoc-ieee-p802-16-1a-sponsor-ballot-recirculation-2-cover-letter.pdf,IEEE P802.16.1a Sponsor Ballot Recirculation #2: Cover Letter,Roger Marks (IEEE 802.16 WG)
Roger Marks,"""IEEE 802.16 WG""",https://mentor.ieee.org/802.16/dcn/13/16-13-0037-00-Gdoc-ieee-p802-16n-sponsor-ballot-recirculation-3-cover-letter.pdf,IEEE P802.16n Sponsor Ballot Recirculation #3: Cover Letter,Roger Marks (IEEE 802.16 WG)
Roger Marks,"""Consensii LLC""",https://mentor.ieee.org/802.16/dcn/13/16-13-0032-01-Gdoc-call-for-contributions-ieee-std-802-16-amendment-for-small-cell-backhaul-scb.pdf,Call for Contributions: IEEE Std 802.16 Amendment for Small Cell Backhaul (SCB),Roger Marks (Consensii LLC)
Roger Marks,"""Consensii LLC""",https://mentor.ieee.org/802.16/dcn/13/16-13-0031-01-Gdoc-update-on-ieee-p802-16r-activity-regarding-small-cell-backhaul-as-of-session-83.pdf,Update on IEEE P802.16r Activity regarding Small Cell Backhaul as of Session #83,Roger Marks (Consensii LLC)
Harry Bims,"""P802.16q Chair""",https://mentor.ieee.org/802.16/dcn/13/16-13-0024-03-Gdoc-p802-16q-closing-report-for-session-83.ppt,P802.16q Closing Report for Session#83,Harry Bims (P802.16q Chair)
Harry Bims,"""P802.16q Chair""",https://mentor.ieee.org/802.16/dcn/13/16-13-0024-02-Gdoc-p802-16q-closing-report-for-session-83.ppt,P802.16q Closing Report for Session#83,Harry Bims (P802.16q Chair)
Harry Bims,"""P802.16q Chair""",https://mentor.ieee.org/802.16/dcn/13/16-13-0036-01-Gdoc-call-for-contributions-toward-p802-16q-development-at-session-84.docx,Call for Contributions toward P802.16q Development at Session #84,Harry Bims (P802.16q Chair)
Roger Marks,"""Consensii LLC""",https://mentor.ieee.org/802.16/dcn/13/16-13-0034-01-Gdoc-itu-r-liaison-group-report-to-session-83-closing-plenary.pptx,ITU-R Liaison Group Report to Session #83 Closing Plenary,Roger Marks (Consensii LLC)
Harry Bims,"""P802.16q Chair""",https://mentor.ieee.org/802.16/dcn/13/16-13-0024-01-Gdoc-p802-16q-closing-report-for-session-83.ppt,P802.16q Closing Report for Session#83,Harry Bims (P802.16q Chair)
Harry Bims,"""P802.16q Chair""",https://mentor.ieee.org/802.16/dcn/13/16-13-0036-00-Gdoc-call-for-contributions-toward-p802-16q-development-at-session-84.docx,Call for Contributions toward P802.16q Development at Session #84,Harry Bims (P802.16q Chair)
Harry Bims,"""PPC Acting Chair""",https://mentor.ieee.org/802.16/dcn/13/16-13-0035-00-Gdoc-session-83-ppc-closing-report.pptx,Session #83 PPC Closing Report,Harry Bims (PPC Acting Chair)
