Harry Bims,"""IEEE 802.16 WG""",https://mentor.ieee.org/802.16/dcn/16/16-16-0052-00-Gdoc-ieee-802-16-status-report-for-session-105.pdf
Menashe Shahar,"""Full Spectrum""",https://mentor.ieee.org/802.16/dcn/16/16-16-0051-00-000s-proposed-mac-changes.xlsx
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/16/16-16-0047-01-000s-benefits-of-specific-phy-layer-parameters-to-support-1mhz-channels.docx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0050-00-000s-september-2016-meeting-presentation.pptx
Menashe Shahar,"""Full Spectrum""",https://mentor.ieee.org/802.16/dcn/16/16-16-0049-00-000s-mac-overhead-calculator.xlsx
Menashe Shahar,"""Full Spectrum""",https://mentor.ieee.org/802.16/dcn/16/16-16-0039-01-Gcon-proposed-phy-layer-parameters-for-ieee-802-16s.docx
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/16/16-16-0047-00-000s-benefits-of-specific-phy-layer-parameters-to-support-1mhz-channels.docx
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/16/16-16-0037-02-000s-evaluation-of-alternatives-for-1-mhz-channels.docx
WG Secretary,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0043-01-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-104.doc
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0041-03-000s-july-2016-meeting-presentation.pptx
WG Secretary,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0032-02-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-103.doc
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0035-02-000s-call-for-contributions-project-802-16s.docx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0044-01-000s-802-16s-draft-system-description-document-sdd.docx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0046-00-000s-guidelines-for-proposals.docx
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/16/16-16-0037-01-000s-evaluation-of-alternatives-for-1-mhz-channels.docx
Menashe Shahar,"""Full Spectrum""",https://mentor.ieee.org/802.16/dcn/16/16-16-0045-00-000s-guidelines-for-overhead-evaluation-of-ieee-802-16s-proposals.docx
WG Secretary,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0032-01-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-103.doc
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0034-02-000s-p802-16s-system-requirements-document-srd.docx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0044-00-000s-802-16s-draft-system-description-document-sdd.docx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0041-02-000s-july-2016-meeting-presentation.pptx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0041-01-000s-july-2016-meeting-presentation.pptx
WG Secretary,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0043-00-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-104.doc
Tim Godfrey,"""EPRI""",https://mentor.ieee.org/802.16/dcn/16/16-16-0042-00-Gcon-treasurer-report-july-2016.pptx
