09-Mar-2017 ET,2017,14,0,00R4: P802.16 Rev 4,Comments on Pre-release Version 1,"Harry Bims (Bims Laboratories, Inc)",09-Mar-2017 03:34:39 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0014-00-00R4-comments-on-pre-release-version-1.xls,https://mentor.ieee.org/802.16/documents
08-Mar-2017 ET,2017,12,0,Gdoc: Group Document,IEEE 802.16 Administrative Report,Roger Marks (EthAirNet Associates),08-Mar-2017 14:36:24 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0012-00-Gdoc-ieee-802-16-administrative-report.pdf,https://mentor.ieee.org/802.16/documents
08-Mar-2017 ET,2017,11,0,Gdoc: Group Document,"IEEE 802.16 Status Report, Session #108",Roger Marks (EthAirNet Associates),08-Mar-2017 14:17:41 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0011-00-Gdoc-ieee-802-16-status-report-session-108.pdf,https://mentor.ieee.org/802.16/documents
07-Mar-2017 ET,2017,10,1,Gdoc: Group Document,Combined Comments for WG Letter Ballot 40,Tim Godfrey (EPRI),07-Mar-2017 11:23:23 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0010-01-Gdoc-combined-comments-for-wg-letter-ballot-40.xlsx,https://mentor.ieee.org/802.16/documents
05-Mar-2017 ET,2017,10,0,Gdoc: Group Document,Combined Comments for WG Letter Ballot 40,Tim Godfrey (EPRI),05-Mar-2017 11:39:56 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0010-00-Gdoc-combined-comments-for-wg-letter-ballot-40.xlsx,https://mentor.ieee.org/802.16/documents
05-Mar-2017 ET,2017,9,0,000s: P802.16s,GRIDMAN Teleconference Minutes 2017-02-23,Tim Godfrey (EPRI),05-Mar-2017 10:55:13 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0009-00-000s-gridman-teleconference-minutes-2017-02-23.doc,https://mentor.ieee.org/802.16/documents
28-Feb-2017 ET,2017,7,1,000s: P802.16s,Performance Projections for Sub-1.25 MHz Channels,Doug Gray (EPRI),28-Feb-2017 15:36:42 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0007-01-000s-performance-projections-for-sub-1-25-mhz-channels.docx,https://mentor.ieee.org/802.16/documents
20-Feb-2017 ET,2017,8,0,000s: P802.16s,IEEE P80216s Poll Comments,Doug Gray (EPRI),20-Feb-2017 10:46:21 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0008-00-000s-ieee-p80216s-poll-comments.docx,https://mentor.ieee.org/802.16/documents
13-Feb-2017 ET,2017,7,0,000s: P802.16s,Performance Projections for Sub-1.25 MHz Channels,Doug Gray (EPRI),13-Feb-2017 18:07:29 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0007-00-000s-performance-projections-for-sub-1-25-mhz-channels.docx,https://mentor.ieee.org/802.16/documents
19-Jan-2017 ET,2017,5,1,000s: P802.16s,January 2017 Meeting Presentation,Tim Godfrey (EPRI),19-Jan-2017 16:32:24 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0005-01-000s-january-2017-meeting-presentation.pptx,https://mentor.ieee.org/802.16/documents
18-Jan-2017 ET,2017,1,3,000s: P802.16s,Draft: Proposed Amendments to 802.16 to Support <1.25 MHz Channels,Doug Gray (EPRI),18-Jan-2017 13:47:40 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0001-03-000s-draft-proposed-amendments-to-802-16-to-support-1-25-mhz-channels.docx,https://mentor.ieee.org/802.16/documents
18-Jan-2017 ET,2017,6,0,000s: P802.16s,802-16s-approved-system-description-document-sdd,GRIDMAN Task Group,19-Jan-2017 15:46:01 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0006-00-000s-802-16s-approved-system-description-document-sdd.docx,https://mentor.ieee.org/802.16/documents
